Version "3.8"

#include "zsc/Player.zsc"
#include "zsc/Gore.zsc"
#include "zsc/Events.zsc"
#include "zsc/Tokens.zsc"
#include "zsc/Items.zsc"
#include "zsc/Ammo.zsc"
#include "zsc/weapons/Axe.txt"
#include "zsc/weapons/Jericho.txt"
#include "zsc/weapons/Colt.txt"
#include "zsc/weapons/Spas.txt"
#include "zsc/weapons/Machreaper.txt"
#include "zsc/weapons/Minimi.txt"
#include "zsc/weapons/Bazooka.txt"
#include "zsc/weapons/Plasma.txt"
#include "zsc/weapons/BigPlasma.txt"
#include "zsc/weapons/Satchel.txt"
#include "zsc/weapons/Nade.txt"
#include "zsc/Particles.zsc"
#include "zsc/Footsteps.zsc"
#include "zsc/Hud.zsc"
#include "zsc/Spawner.zsc"

